feature_set,criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
border_asymmetry_color_no_ita_fst,entropy,5.0,10,0.6710837158653751,0.0180998515593737,0.6351190476190476,0.02175674628868699
border_asymmetry_color_no_ita_fst,entropy,5.0,20,0.6809902356961399,0.024326941926151053,0.6386904761904761,0.026325409985114255
border_asymmetry_color_no_ita_fst,entropy,6.0,1,0.6552528744035497,0.015953050048366897,0.6297619047619049,0.024002196611495174
border_asymmetry_color_no_ita_fst,entropy,6.0,2,0.6588066510781522,0.020004615586558007,0.6297619047619047,0.02487212192354306
border_asymmetry_color_no_ita_fst,entropy,6.0,5,0.6593877985636022,0.02021605671716473,0.6309523809523809,0.023282865732866597
border_asymmetry_color_no_ita_fst,entropy,6.0,10,0.657991742659872,0.022585402238552554,0.6244047619047619,0.02576769145465874
border_asymmetry_color_no_ita_fst,entropy,6.0,20,0.6739606173877741,0.031563228110555196,0.638095238095238,0.03412121582849169
border_asymmetry_color_no_ita_fst,entropy,8.0,1,0.6412434664292557,0.019129223231316786,0.6190476190476191,0.020960496263879767
border_asymmetry_color_no_ita_fst,entropy,8.0,2,0.6478089394913027,0.026579752085610118,0.6190476190476192,0.026149860281534293
border_asymmetry_color_no_ita_fst,entropy,8.0,5,0.6562166677945079,0.027989578170448424,0.6113095238095237,0.025295868286756874
border_asymmetry_color_no_ita_fst,entropy,8.0,10,0.6574496613684035,0.027067866006582866,0.6214285714285713,0.0316317387037772
border_asymmetry_color_no_ita_fst,entropy,8.0,20,0.6730427222678983,0.046720417793778515,0.6398809523809523,0.040062663501104406
border_asymmetry_color_no_ita_fst,entropy,10.0,1,0.6272303332141418,0.019030033935427786,0.6142857142857142,0.01581586935188859
border_asymmetry_color_no_ita_fst,entropy,10.0,2,0.6335937238251429,0.026513165439245447,0.6160714285714285,0.0203602754481989
border_asymmetry_color_no_ita_fst,entropy,10.0,5,0.6415198028700076,0.03060627210686741,0.6119047619047618,0.03317351141212565
border_asymmetry_color_no_ita_fst,entropy,10.0,10,0.649332320822068,0.033390669399247515,0.6148809523809523,0.035495360752084704
border_asymmetry_color_no_ita_fst,entropy,10.0,20,0.6722173353701164,0.03929215267549523,0.6392857142857142,0.02813405309070589
border_asymmetry_color_no_ita_fst,entropy,,1,0.5869449393689375,0.014227639973105161,0.5869047619047618,0.014260891131798735
border_asymmetry_color_no_ita_fst,entropy,,2,0.5916146021767197,0.01606151379223322,0.5845238095238094,0.01559023911155808
border_asymmetry_color_no_ita_fst,entropy,,5,0.6072295284345771,0.01513678334155647,0.5761904761904761,0.018307805356225816
border_asymmetry_color_no_ita_fst,entropy,,10,0.6432487046596739,0.02608116221798446,0.5982142857142857,0.014335231641419413
border_asymmetry_color_no_ita_fst,entropy,,20,0.6689647200737999,0.040780129280712146,0.6333333333333333,0.027042420694287025
