criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
entropy,5.0,5,0.6638204196053813,0.024330086805484145,0.631547619047619,0.0255606078018856
entropy,5.0,10,0.6659214252983788,0.023847653977675843,0.6321428571428571,0.024585567176265952
entropy,5.0,20,0.6771849737559459,0.02361486558007958,0.631547619047619,0.02637919024542898
entropy,6.0,1,0.6433091149745753,0.024523327997717417,0.6172619047619048,0.01906621116434164
entropy,6.0,2,0.6489321360047284,0.020960288812235436,0.6226190476190476,0.021078489535268786
entropy,6.0,5,0.6458850460633296,0.023301805191624586,0.6196428571428572,0.02269723329159239
entropy,6.0,10,0.6556497831581936,0.023506833748958983,0.625,0.02621751850660145
entropy,6.0,20,0.6688727042152062,0.027043556253424438,0.6339285714285714,0.028546616210194765
entropy,8.0,1,0.636602127076604,0.018484493293649956,0.613095238095238,0.023282865732866604
entropy,8.0,2,0.6411372335432184,0.026574990767063815,0.6136904761904762,0.027173124310746026
entropy,8.0,5,0.64709671635576,0.029015812248460483,0.6148809523809524,0.03317351141212566
entropy,8.0,10,0.6665200133987148,0.03758935537020851,0.6226190476190476,0.040868199747075895
entropy,8.0,20,0.6802248464669501,0.03776813052026412,0.6357142857142857,0.03647988915724898
entropy,10.0,1,0.6216179664179269,0.041781039427880265,0.6119047619047618,0.03534531628405599
entropy,10.0,2,0.6316310366225645,0.04171692154645312,0.6130952380952381,0.024324781835360205
entropy,10.0,5,0.6338843270067361,0.03346478530831781,0.6077380952380953,0.031631738703777196
entropy,10.0,10,0.6534352859209328,0.045235602182610406,0.6130952380952381,0.04208968935634213
entropy,10.0,20,0.6819291093677075,0.035155672253608175,0.6392857142857145,0.02936641996081908
entropy,,1,0.5809996448354348,0.021085012235657116,0.5809523809523809,0.021078489535268783
entropy,,2,0.5984035175030931,0.022430325913755187,0.5910714285714286,0.019884872724392936
entropy,,5,0.6246050265527794,0.023095701605966985,0.5880952380952381,0.03067642553982175
entropy,,10,0.6391316681584703,0.036013204510310634,0.5904761904761905,0.03478961713381538
entropy,,20,0.6782831848931449,0.034749678803275764,0.6261904761904762,0.02705551946991311
